country,corruption index
Somalia,9
Yemen,15
Afghanista,16
Equatorial,16
Sudan,16
Venezuela,16
North Kore,17
Congo,18
Guinea-Bis,18
Haiti,18
Libyan Ara,18
Republic o,18
Burundi,19
Turkmenist,19
Cambodia,20
Chad,20
Iraq,20
Nicaragua,22
Eritrea,23
Madagascar,24
Zimbabwe,24
Cameroon,25
Central Af,25
Comoros,25
Uzbekistan,25
Angola,26
Bangladesh,26
Guatemala,26
Honduras,26
Iran,26
Mozambique,26
Nigeria,26
Dominican,28
Kenya,28
Lebanon,28
Liberia,28
Mauritania,28
Papua New,28
Paraguay,28
Russian Fe,28
Uganda,28
Burma,29
Lao P.Dem.,29
Maldives,29
Mali,29
Mexico,29
Togo,29
Azerbaijan,30
Djibouti,30
Kyrgystan,30
Ukraine,30
Bolivia,31
Gabon,31
Malawi,31
Moldova,32
Pakistan,32
Sierra Leo,33
El Salvado,34
Kazakhstan,34
Nepal,34
Philippine,34
Zambia,34
Albania,35
Algeria,35
Brazil,35
Egypt,35
Ivory Coas,35
Mongolia,35
Bosnia Her,36
Panama,36
Peru,36
Thailand,36
Columbia,37
Ethiopia,37
Gambia,37
Tanzania,37
Vietnam,37
East Timor,38
Ecuador,38
Sri Lanka,38
Serbia,39
Turkey,39
Burkina Fa,40
Guyana,40
Indonesia,40
Kuwait,40
Lesotho,40
Trinidad a,40
Benin,41
China,41
Ghana,41
India,41
Morocco,41
Armenia,42
Bahrain,42
Solomon Is,42
Bulgaria,43
Jamaica,43
Tunisia,43
Hungary,44
Romania,44
South Afri,44
Suriname,44
Argentina,45
Belarus,45
Senegal,45
Vanuatu,46
Croatia,47
Cuba,48
Greece,48
Jordan,48
Slovakia,50
Mauritius,52
Namibia,52
Oman,52
Samoa,52
Grenada,53
Italy,53
Malaysia,53
Rwanda,53
Saudi Arab,53
Malta,54
Dominica,55
St Lucia,55
Costa Rica,56
Czech Repu,56
Georgia,56
Latvia,56
Cape Verde,58
Cyprus,58
Poland,58
South Kore,59
St Vincent,59
Brunei,60
Israel,60
Lithuania,60
Slovenia,60
Botswana,61
Barbados,62
Portugal,62
Qatar,62
Spain,62
Puerto Ric,63
Bahamas,64
Taiwan,65
Seychelles,66
Chile,67
Bhutan,68
France,69
USA,69
United Ara,71
Uruguay,71
Japan,73
Estonia,74
Ireland,74
Belgium,75
Hong Kong,76
Australia,77
Austria,77
Canada,77
UK,77
Iceland,78
Germany,80
Luxembourg,80
Netherland,82
Norway,84
Singapore,85
Sweden,85
Switzerlan,85
Finland,86
Denmark,87
New Zealan,87
Andorra,
Anguilla,
Antarctica,
Antigua,
Arabian Gu,
Aruba,
Belize,
Bermuda,
Borneo,
Bouvet Isl,
British In,
British Vi,
Burma(Myan,
Cayman Isl,
Christmas,
Cocos (Kee,
Cook Islan,
Faeroe Isl,
Falkland I,
Fiji,
French Gui,
French Pol,
Gibraltar,
Greenland,
Guadeloupe,
Guam,
Guinea,
Johnston I,
Liechtenst,
Macau,
Macedonia,
Marshall I,
Martinique,
Micronesia,
Monaco,
Montserrat,
nan,
New Caledo,
Niger,
Niue,
Norfolk Is,
Northern M,
Palau,
Pitcairn I,
Reunion,
Saint Hele,
Saint Kitt,
San Marino,
Svalbard &,
Swaziland,
Syria,
Tokelau,
Tonga,
Turks and,
Tuvalu,
Vatican,
Vatican Ci,
Virgin Isl,
W. Samoa,
Wake Islan,
Wallis and,
Western Sa,
Yugoslavia,
Zaire,
